job_type,job_family,sub_family,single_role,career_level,country
Non-clinical Professional,Finance,Budgeting,Coordinator,Manager,Canada
Clinical Support,Technician,Radiology,Manager,Support,Canada
Clinical Support,Technician,Lab,Specialist,Support,Germany
Registered Nurse,ER,Trauma,Director,Support Manager,Canada
Registered Nurse,Pediatrics,NICU,Manager,Senior Manager,Canada
Management,Strategy,Planning,Analyst,Senior,Germany
Clinical Support,Therapy,Occupational,Manager,Support,UK
Registered Nurse,Pediatrics,NICU,Manager,Junior,US
Non-clinical Professional,HR,Compensation,Analyst,Support,Germany
Management,Operations,Facilities,Director,Senior,US
Non-clinical Professional,Marketing,Product,Specialist,Junior,US
Management,Strategy,Planning,Manager,Senior,US
Management,Operations,Logistics,Coordinator,Support,Germany
Clinical Support,Technician,Lab,Director,Support,Germany
Registered Nurse,Pediatrics,NICU,Coordinator,Senior,UK
Clinical Support,Therapy,Occupational,Director,Junior,US
Registered Nurse,Pediatrics,General,Coordinator,Manager,Germany
Non-clinical Professional,Finance,Tax,Specialist,Support Manager,US
Registered Nurse,ER,Trauma,Manager,Manager,UK
Non-clinical Professional,HR,  Recruiting  ,Director,Manager,Canada
Non-clinical Professional,Finance,Accounting,Director,Support Manager,Canada
Clinical Support,Therapy,Occupational,Analyst,Senior,Canada
Management,Strategy,Analytics,Specialist,Junior,US
Registered Nurse,Pediatrics,General,Director,Junior,UK
Clinical Support,Technician,Radiology,Coordinator,Senior Manager,UK
Non-clinical Professional,HR,Compensation,Manager,,Germany
Registered Nurse,Oncology,Radiation,Specialist,Support,US
Registered Nurse,Oncology,Radiation,Manager,Manager,US
Non-clinical Professional,Finance,Accounting,Director,Support Manager,UK
Clinical Support,Therapy,Occupational,Specialist,Support,Germany
Registered Nurse,ER,Triage,Analyst,Senior,Germany
Non-clinical Professional,Marketing,Digital,Coordinator,Support Manager,Germany
Non-clinical Professional,Finance,Accounting,Manager,Support,Canada
Registered Nurse,ER,Triage,Manager,Manager,UK
Non-clinical Professional,Marketing,Digital,Analyst,Support,Canada
Registered Nurse,Oncology,Radiation,Coordinator123,Support Manager,Canada
Clinical Support,Technician,Radiology,Coordinator,Senior,UK
Clinical Support,Technician,Radiology,Analyst,Support,UK
Management,Strategy,Planning,Specialist,Junior,UK
Clinical Support,Technician,Lab,Specialist,Junior,UK
Non-clinical Professional,HR,Compensation,Director,Support Manager,Germany
Non-clinical Professional,HR,Recruiting,Analyst,Junior,Germany
Non-clinical Professional,HR,Recruiting,Analyst,Support,Germany
Clinical Support,Technician,Lab,Specialist,Manager,US
Management,Operations,Facilities,Director,Senior Manager,UK
Registered Nurse,ER,Trauma,Director,Senior,US
Registered Nurse,Oncology,Chemotherapy,Coordinator,Junior,US
Management,Strategy,Analytics,Analyst,Support Manager,UK
Management,Operations,Facilities,Director,Support,Germany
Clinical Support,Technician,Radiology,Manager,Support Manager,US
Non-clinical Professional,Finance,Accounting,Coordinator,Senior,Canada
Registered Nurse,Oncology,Chemotherapy,Manager,Senior Manager,Canada
Clinical Support,Therapy,Occupational,Analyst,Senior Manager,Canada
Management,Operations,Facilities,Coordinator,Support,UK
Clinical Support,Therapy,Physical,Manager,Support Manager,UK
Management,Strategy,Analytics,Specialist,Support Manager,Germany
Management,Strategy,Planning,Director,Manager,Canada
Registered Nurse,Pediatrics,NICU,Director,Support,Germany
Clinical Support,Technician,Radiology,Director,Support,UK
Management,Strategy,Analytics,Manager,Senior Manager,UK
Clinical Support,Technician,Radiology,Director,Support Manager,Germany
Management,Strategy,Planning,Manager,Support Manager,US
Clinical Support,Therapy,Occupational,Specialist,Support,Germany
Clinical Support,Technician,Lab,Coordinator,Senior Manager,UK
Clinical Support,Technician,Lab,Analyst,Support,US
Management,Strategy,Planning,Analyst,Manager,Germany
Registered Nurse,Pediatrics,NICU,Coordinator,Senior Manager,Germany
Registered Nurse,ER,Triage,Manager,Support Manager,UK
Clinical Support,Therapy,Occupational,Specialist,Junior,Germany
Registered Nurse,ER,Trauma,Director,Manager,Canada
Management,Strategy,Planning,Coordinator,Senior,US
Registered Nurse,ER,Triage,Specialist,Senior Manager,Germany
Clinical Support,Technician,Radiology,Analyst,Senior,Canada
Management,Strategy,Planning,Director,Support,US
Management,Operations,Facilities,Manager,Manager,US
Registered Nurse,ER,Trauma,Coordinator,Support Manager,Germany
,Therapy,Physical,Manager,Senior Manager,Germany
Clinical Support,Therapy,Physical,Analyst,Manager,Canada
Clinical Support,Therapy,Physical,Director,Senior,Canada
Management,Operations,Logistics,Specialist,Manager,US
Management,Strategy,Planning,Manager,Support,UK
Clinical Support,Technician,Radiology,Specialist,Senior Manager,Germany
Clinical Support,Technician,Lab,Coordinator,Senior Manager,Germany
Clinical Support,Technician,Lab,Director,Support Manager,Canada
Non-clinical Professional,HR,Recruiting,Coordinator,Support Manager,Germany
Management,Strategy,Planning,Director,Support Manager,US
Non-clinical Professional,HR,Compensation,Director,Manager,Germany
Registered Nurse,Oncology,Radiation,Director,Manager,UK
Registered Nurse,Oncology,Radiation,Director,Support,Canada
Clinical Support,Therapy,Occupational,Director,Senior,Canada
Non-clinical Professional,Marketing,Product,Specialist,Senior,UK
Registered Nurse,Pediatrics,General,Analyst,Senior,Germany
Management,Operations,Logistics,Director,Manager,UK
Management,Strategy,Analytics,Analyst,Support,US
Non-clinical Professional,Finance,Tax,Analyst,Manager,UK
Non-clinical Professional,Marketing,Product,Specialist,Senior,Germany
Registered Nurse,Oncology,Radiation,Director,Support Manager,UK
Registered Nurse,Pediatrics,General,Director,Senior,Canada
Registered Nurse,ER,Trauma,Manager,Senior,Germany
Clinical Support,Therapy,Occupational,Manager,Support,UK
Registered Nurse,Oncology,Chemotherapy,Coordinator,Manager,Canada
Registered Nurse,ER,Trauma,Analyst,Junior,US
Management,Operations,Logistics,Manager,Support,Germany
Registered Nurse,Pediatrics,NICU,Specialist,Junior,Germany
Non-clinical Professional,Finance,Budgeting,Director,Junior,US
Management,Strategy,Planning,Analyst,Support,US
Clinical Support,Therapy,Physical,Manager,Senior Manager,Germany
Non-clinical Professional,HR,Recruiting,Specialist,Senior,Canada
Non-clinical Professional,Finance,Budgeting,Manager,Senior Manager,UK
Clinical Support,Therapy,Physical,Coordinator,Junior,UK
Management,Operations,Facilities,Analyst,Senior,Canada
Management,Strategy,Analytics,Specialist,Manager,Germany
Non-clinical Professional,HR,Compensation,Analyst,Support Manager,Canada
Non-clinical Professional,Marketing,Product,Analyst,Senior,Germany
Management,Strategy,Planning,Specialist,Senior Manager,UK
Clinical Support,Therapy,Physical,Director,Support Manager,UK
Management,Strategy,Analytics,Manager,Senior Manager,US
Clinical Support,Therapy,Occupational,Manager,Senior Manager,UK
Non-clinical Professional,Marketing,Digital,Director,Senior,UK
Non-clinical Professional,Finance,Tax,Manager,Manager,UK
Clinical Support,Technician,Radiology,Analyst,Senior Manager,Germany
Management,Strategy,Planning,Manager,Support,Germany
Clinical Support,Therapy,Occupational,Specialist,Senior,US
Clinical Support,Technician,Lab,Coordinator,Senior,US
Management,Operations,Facilities,Coordinator,Support,UK
Management,Operations,Logistics,Coordinator,Manager,Canada
Clinical Support,Technician,Lab,Specialist,Manager,US
Registered Nurse,Oncology,  Radiation  ,Specialist,Support Manager,Canada
Management,Strategy,Planning,Specialist,Support Manager,Canada
Clinical Support,Technician,Radiology,Manager,Senior,UK
Management,Operations,Facilities,Coordinator,Junior,Germany
Non-clinical Professional,Finance,Accounting,Analyst,Support,Germany
Clinical Support,Therapy,Occupational,Director,Senior Manager,US
Management,Strategy,Planning,Director,Support,UK
Clinical Support,Therapy,Physical,Director,Senior,US
Non-clinical Professional,Marketing,Product,Specialist,Senior Manager,UK
Clinical Support,Technician,Radiology,Coordinator,Senior,Germany
Management,Strategy,Analytics,Director,Junior,US
Non-clinical Professional,Marketing,Product,Specialist,Support,US
Clinical Support,Technician,Radiology,Manager,Senior Manager,UK
Clinical Support,Technician,Radiology,Director,Manager,Germany
Registered Nurse,Oncology,Radiation,Director,Manager,Canada
Non-clinical Professional,Finance,Accounting,Specialist,Support,US
Management,Operations,Logistics,Director,Junior,UK
Registered Nurse,Oncology,Radiation,Director,Junior,Germany
Registered Nurse,Pediatrics,General,Director,Junior,Canada
Registered Nurse,Pediatrics,General,Director,Junior,Canada
Management,Strategy,Analytics,Director,Senior,UK
Non-clinical Professional,Marketing,Digital,Manager,Support,UK
Registered Nurse,ER,Triage,Coordinator,Junior,US
Registered Nurse,Pediatrics,NICU,Coordinator,Support Manager,Canada
Clinical Support,Technician,Radiology,Coordinator,Manager,Canada
Non-clinical Professional,Finance,Tax,Manager,Senior,US
Registered Nurse,ER,Trauma,Analyst,Junior,US
Clinical Support,Therapy,Physical,Specialist,Support Manager,Germany
Clinical Support,Therapy,Physical,Coordinator,Support Manager,UK
Management,Operations,Facilities,Specialist,Junior,Germany
Management,Operations,Facilities,Director,Support Manager,Germany
Clinical Support,Technician,Lab,Specialist,Support Manager,US
Non-clinical Professional,Marketing,Product,Analyst,Senior,Germany
Management,Strategy,Planning,Director,Support,Canada
Non-clinical Professional,Marketing,Digital,Specialist,Support,Canada
Non-clinical Professional,Finance,Budgeting,Specialist,Senior,US
,Strategy,Analytics,Analyst,Support Manager,Germany
Registered Nurse,Pediatrics,General,Manager,Support,Germany
,Technician,Radiology,Coordinator,Manager,UK
Non-clinical Professional,Marketing,Product,Specialist,Junior,US
Clinical Support,Therapy,Occupational,Director,Support,Canada
Clinical Support,Technician,Radiology,Specialist,Senior,UK
Clinical Support,Technician,Lab,Specialist,Support Manager,Canada
Management,Strategy,Planning,Coordinator,Support Manager,UK
Clinical Support,Technician,Lab,Specialist,Support Manager,Germany
Clinical Support,Therapy,Physical,Analyst,Support Manager,US
Clinical Support,Technician,Radiology,Analyst,Support,Canada
Registered Nurse,ER,Trauma,Analyst,Junior,US
Registered Nurse,Oncology,Radiation,Director,Senior Manager,US
Management,Operations,Facilities,Analyst,Support,US
Registered Nurse,ER,Triage,Director,Support,UK
Non-clinical Professional,Marketing,Product,Manager,Manager,US
Management,Strategy,Analytics,Coordinator,Support Manager,UK
Non-clinical Professional,HR,Recruiting,Manager,Senior,Germany
Non-clinical Professional,Marketing,Product,Manager,Senior,Canada
Management,Operations,Facilities,Manager,Support Manager,US
Non-clinical Professional,HR,Compensation,Director,Junior,US
Non-clinical Professional,Marketing,Product,Specialist,Support,US
Clinical Support,Therapy,Occupational,Coordinator,Support Manager,Canada
Clinical Support,Technician,Lab,Specialist,Senior,Germany
Management,Operations,Facilities,Coordinator,Support,US
Non-clinical Professional,Finance,Accounting,Specialist,Support Manager,Germany
Clinical Support,Therapy,Physical,Manager,Support,Canada
Registered Nurse,Oncology,Radiation,Specialist,Support Manager,UK
Registered Nurse,Pediatrics,NICU,Manager,Manager,Germany
Clinical Support,Therapy,Physical,Manager,Support Manager,Canada
Management,Strategy,Analytics,Analyst,Senior Manager,US
Registered Nurse,Oncology,Chemotherapy,Director,Support Manager,UK
Registered Nurse,Oncology,Chemotherapy,Coordinator,Support,US
Registered Nurse,Oncology,Radiation,Manager,Senior Manager,UK
Management,Operations,Logistics,Coordinator,Senior,US
Non-clinical Professional,Marketing,Digital,Coordinator,Manager,US
Registered Nurse,Oncology,Radiation,Manager,Support Manager,Germany
Clinical Support,Therapy,Physical,Director,Junior,Germany
Non-clinical Professional,Finance,Accounting,Specialist,Junior,Germany
Registered Nurse,ER,Trauma,Director,Senior,Canada
Registered Nurse,Oncology,Chemotherapy,Analyst,Senior Manager,UK
Clinical Support,Therapy,Physical,Analyst,Senior Manager,Germany
Management,Strategy,Planning,Director,Junior,Germany
Non-clinical Professional,Marketing,Digital,Coordinator,Support Manager,UK
Management,Operations,Facilities,Analyst,,US
Clinical Support,Therapy,Physical,Manager,Junior,UK
Management,Operations,Logistics,Manager,Support Manager,US
Management,Strategy,Planning,Analyst,Senior Manager,Germany
Registered Nurse,ER,Triage,Specialist,Support,Canada
Clinical Support,Technician,Lab,Manager,Senior Manager,UK
Non-clinical Professional,Finance,Tax,Specialist,Junior,UK
Non-clinical Professional,Finance,Budgeting,Analyst,Support Manager,UK
Registered Nurse,Oncology,Chemotherapy,Specialist,Support,Canada
Clinical Support,Therapy,Occupational,Specialist,Senior,UK
Management,Strategy,Planning,Specialist,Senior Manager,UK
Registered Nurse,Oncology,Radiation,Analyst,Support,UK
Management,Strategy,Planning,Manager,Senior,UK
Non-clinical Professional,HR,Compensation,Manager,Senior,Canada
Management,Strategy,Planning,Director,Support,Germany
Registered Nurse,Pediatrics,NICU,Analyst,Manager,Germany
Clinical Support,Therapy,Occupational,Specialist,Senior,US
Management,Operations,Logistics,Analyst,Senior,UK
Clinical Support,Technician,Radiology,Specialist,Senior,Germany
Registered Nurse,Pediatrics,NICU,Coordinator,Support,US
Registered Nurse,Pediatrics,General,Manager,Senior Manager,Canada
Management,Strategy,Planning,Analyst,Senior,Canada
Non-clinical Professional,Finance,Budgeting,Specialist,Manager,Canada
Registered Nurse,Pediatrics,General,Manager,Manager,UK
Management,Strategy,Analytics,Coordinator,Support Manager,Germany
Clinical Support,Therapy,Occupational,Specialist,Support Manager,Canada
Registered Nurse,Oncology,Chemotherapy,Director,Support Manager,Canada
Non-clinical Professional,Marketing,Product,Coordinator,Support,UK
Registered Nurse,ER,Triage,Specialist,Support Manager,Germany
Management,Operations,Logistics,Coordinator,Support Manager,Canada
Management,Strategy,Analytics,Manager,Senior,US
Registered Nurse,Oncology,Radiation,Manager,Senior,Canada
Management,Operations,Facilities,Analyst,Manager,Germany
Registered Nurse,Pediatrics,General,Specialist,Support,Germany
,Oncology,Chemotherapy,Manager,Senior,UK
Registered Nurse,Oncology,Radiation,Coordinator,Manager,Canada
Clinical Support,Technician,Radiology,Coordinator,Support,US
Clinical Support,Therapy,Occupational,Coordinator,Manager,Germany
Non-clinical Professional,Marketing,Digital,Analyst,Manager,UK
Registered Nurse,Oncology,Radiation,Analyst,Support Manager,Canada
Management,Strategy,Analytics,Specialist,Senior Manager,UK
Management,Strategy,Planning,Coordinator,Senior Manager,Germany
Registered Nurse,ER,Triage,Specialist,Manager,UK
Registered Nurse,Pediatrics,NICU,Manager,Manager,Canada
Registered Nurse,ER,Triage,Analyst,Senior,Canada
Registered Nurse,ER,Trauma,Specialist123,Senior Manager,UK
Registered Nurse,ER,Triage,Analyst,Junior,Canada
Clinical Support,Therapy,Physical,Manager,Support Manager,Germany
Non-clinical Professional,Marketing,Product,Director,Senior,Germany
Clinical Support,Technician,Lab,Director,Support,Canada
